ELE# 1 : 0.250000 m
+1.020112e-20 +2.391331e-20 -5.496694e-16 +1.000000e+00 -5.421011e-20 -5.421011e-20
+0.000000e+00 +0.000000e+00 +0.000000e+00 +2.710505e-20 +1.000000e+00 +0.000000e+00
-1.861156e-23 -1.654361e-24 +1.016440e-20 -1.016440e-20 +1.110223e-16 +1.000000e+00
ELE# 35 : 1.300000 m
+1.189565e+00 +1.062424e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+3.906771e+00 +1.189565e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +8.217043e-01 +9.398299e-02 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 -3.455966e+00 +8.217043e-01 +0.000000e+00 +0.000000e+00
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +9.954955e-02
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00
ELE# 36 : 1.300000 m
+1.000000e+00 -6.687713e-18 +2.348496e-20 -3.057699e-21 +1.985233e-23 +6.617445e-24
+2.215420e-17 +1.000000e+00 +3.611610e-20 -1.931001e-20 +0.000000e+00 -1.058791e-22
-3.988361e-21 +2.726761e-20 +1.000000e+00 +1.984528e-16 +0.000000e+00 +5.421011e-20
+3.140496e-19 -1.843313e-19 -7.876646e-16 +1.000000e+00 +4.336809e-19 +0.000000e+00
+0.000000e+00 +6.617445e-24 +0.000000e+00 +0.000000e+00 +1.000000e+00 +0.000000e+00
-6.617445e-23 +1.819797e-23 +7.453890e-20 +5.082198e-20 +2.775558e-17 +1.000000e+00
ELE# 37 : 1.335000 m
+9.999996e-01 +3.500004e-02 +4.223523e-11 +1.403436e-11 +6.979619e-15 -1.724594e-14
+2.215420e-17 +1.000000e+00 +3.611610e-20 -1.931001e-20 +0.000000e+00 -1.058791e-22
+9.087687e-11 -4.163313e-11 +9.999995e-01 +3.499979e-02 +1.644262e-10 +7.768192e-11
+3.140496e-19 -1.843313e-19 -7.876646e-16 +1.000000e+00 +4.336809e-19 +0.000000e+00
-4.529602e-14 +1.271035e-14 +7.688442e-11 +2.950767e-11 +9.999998e-01 +3.484214e-02
-6.617445e-23 +1.819797e-23 +7.453890e-20 +5.082198e-20 +2.775558e-17 +1.000000e+00
ELE# 38 : 1.335000 m
+1.000000e+00 +5.276414e-19 +5.583889e-20 +6.618889e-21 +1.323489e-23 +1.323489e-23
+2.889534e-18 +1.000000e+00 -4.784940e-20 +5.866908e-21 +0.000000e+00 +0.000000e+00
+7.882160e-20 +6.529705e-20 +1.000000e+00 +1.690001e-16 +2.710505e-20 -1.355253e-19
+1.011018e-19 -4.456805e-20 -1.559638e-15 +1.000000e+00 -4.336809e-19 +0.000000e+00
-2.646978e-23 +1.323489e-23 -5.421011e-20 +1.355253e-20 +1.000000e+00 -1.110223e-16
-3.308722e-23 -3.308722e-24 +6.098637e-20 +2.710505e-20 -2.775558e-17 +1.000000e+00
ELE# 39 : 1.370000 m
+1.000000e+00 +3.499995e-02 +4.225355e-11 +1.252499e-11 -6.709191e-14 -2.650595e-14
+2.889534e-18 +1.000000e+00 -4.784940e-20 +5.866908e-21 +0.000000e+00 +0.000000e+00
-5.756329e-11 +2.538921e-11 +1.000000e+00 +3.500010e-02 -6.280644e-11 -9.296111e-11
